	1,50	100,28785273	
	2,00	100,47956683	
	2,50	100,50432132	
	3,00	100,54091281	
	3,50	100,86789309	
	4,00	100,84782121	
	4,50	100,91997428	
	5,00	100,90675786	
	5,50	101,19740982	
	6,00	100,57968687	
	6,50	100,55490244	
	7,00	100,60000384	
	7,50	100,30492863	
	8,00	99,67277142	
	8,50	98,61639519	
	9,00	97,21390904	
	9,50	92,51674159	
	10,00	48,42335763	
	10,50	13,75423798	
	11,00	9,72371252	
	11,50	8,16457431	
	12,00	7,09736861	
	12,50	6,29214679	
	13,00	5,62114758	
	13,50	4,96582984	
	14,00	4,52381616	
	14,50	3,94989931	
	15,00	3,51657504	
	15,50	3,24580744	
	16,00	2,83080267	
Detector ID	Positive Diagonal Position(cm)	Set 1
	-22,63	0,90470506	
	-21,92	0,91742423	
	-21,21	1,11102816	
	-20,51	1,28624863	
	-19,80	1,55059143	
	-19,09	1,90196482	
	-18,38	2,28806034	
	-17,68	2,80698007	
	-16,97	3,42109781	
	-16,26	4,28278775	
	-15,56	5,37355927	
	-14,85	9,61359166	
	-14,14	69,11689644	
	-13,43	92,57820711	
	-12,73	95,78849489	
	-12,02	97,57374126	
	-11,31	98,66290726	
	-10,61	99,45778994	
	-9,90	99,95891849	
	-9,19	100,49375167	
	-8,49	100,97682493	
	-7,78	101,17470865	
	-7,07	101,29400110	
	-6,36	101,38087337	
	-5,66	101,38399100	
	-4,95	101,14293564	
	-4,24	100,68524499	
	-3,54	100,41946854	
	-2,83	100,36942911	
	-2,12	100,35134079	
	-1,41	100,16478037	
	0,00	100,00000000	
	1,41	100,53680551	
	2,12	100,71883836	
	2,83	100,77225266	
	3,54	101,00151559	
	4,24	101,51981474	
	4,95	101,68386084	
	5,66	101,75883051	
	6,36	101,72572363	
	7,07	101,81773871	
	7,78	101,43115286	
	8,49	101,19998447	
	9,19	100,86833643	
	9,90	100,64379520	
	10,61	99,72829339	
	11,31	98,64074164	
	12,02	97,61287020	
	12,73	95,62174005	
	13,43	90,71389427	
	14,14	48,83525789	
	14,85	7,40019777	
	15,56	5,06350416	
	16,26	3,97546408	
	16,97	3,21879113	
	17,68	2,58427215	
	18,38	2,24052470	
	19,09	1,84572450	
	19,80	1,44963640	
	20,51	1,44253489	
	21,21	1,24182465	
	21,92	1,11729324	
	22,63	0,98011430	
Detector ID	Negative Diagonal Position(cm)	Set 1
	-22,63	0,81652255	
	-21,92	0,95593263	
	-21,21	1,16223115	
	-20,51	1,30450703	
